caseid,sender,target,startdate,terdate,defactoter,ongoing,gradual,expiry,review,measures,goals,adaptgoal,targetsalience,sendersalience,requirementter,outcome,negotiations,costsender,instinvestment,costtarget,multilateralism,datasets,comment,sourceimp,sourceter
USA_RUS_12,2,365,14.12.2012,,,1,0,0,1,"TB, AF","HR, DM",0,1,0,Ambiguous,Blank,0,Minor,0,Minor,USA,EUSANCT,,https://home.treasury.gov/system/files/126/pl112_208.pdf,
USA_RUS_14_a,2,365,03.03.2014,,,1,0,0,0,"AF, TB, FS, IM, AE, CE","AC, DM",0,1,0,Clear ,Blank,1,Minor,0,Major,EU – USA,EUSANCT,,https://thehill.com/policy/defense/199774-pentagon-puts-engagement-with-russian-military-on-hold,
USA_RUS_14_b,2,365,18.09.2014,,,1,1,0,1,"AS, FS",HR,0,0,0,Clear,Blank,0,Minor,1,Minor,USA,IST,Human Trafficking Act,Federal Register :: Presidential Determination With Respect to Foreign Governments' Efforts Regarding Trafficking in Persons,
USA_RUS_16,2,365,29.12.2016,,,1,0,0,0,"DS, AF, TB",Other,0,0,1,Ambiguous,Blank,1,Minor,0,Minor,USA,IST,,https://obamawhitehouse.archives.gov/the-press-office/2016/12/29/fact-sheet-actions-response-russian-malicious-cyber-activity-and,
USA_RUS_18,2,365,26.03.2018,,,1,0,0,0,"DS, AE, AS",WM,0,0,0,Clear ,Blank,0,Minor,0,Minor,USA,IST,,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-expulsion-russian-intelligence-officers/,
USA_RUS_91,2,365,19.08.1991,22.08.1991,,0,0,0,0,AS,DM,0,1,0,Clear ,Target complete acquiescence,0,Minor,0,Minor,EU – USA,EUSANCT/HSE,,https://www.hsdl.org/?abstract&did=446614,https://www.hsdl.org/?abstract&did=446614
USA_RUS_92,2,365,11.05.1992,11.05.1994,,0,1,1,0,"FS, CE",NP,0,0,1,Clear ,"Negotiated settlement, Target partial acquiescence",1,Minor,0,Minor,USA,EUSANCT,sanctions expired,https://babel.hathitrust.org/cgi/pt?id=umn.31951d02928467k;view=1up;seq=4,https://babel.hathitrust.org/cgi/pt?id=umn.31951d02928467k;view=1up;seq=4
USA_RUS_98,2,365,30.07.1998,21.05.2010,,0,1,1,1,"CE, AS",WM,0,0,0,Clear ,"Negotiated settlement, Target partial acquiescence",1,Minor,0,Minor,USA,EUSANCT,,https://www.govinfo.gov/content/pkg/FR-1998-08-06/pdf/98-21191.pdf,https://www.federalregister.gov/documents/2010/05/21/2010-12313/bureau-of-international-security-and-nonproliferation-lifting-of-nonproliferation-measures-against
USA_EST_03,2,366,01.07.2003,29.03.2004,,0,1,0,0,"AS, IM",CB,0,0,0,Clear ,Stalemate,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.nato.int/docu/update/2004/03-march/e0329a.htm
USA_LAT_03,2,367,01.07.2003,29.03.2004,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Stalemate,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.nato.int/docu/update/2004/03-march/e0329a.htm
